probe_id,mirna_name
aly-miR163.1-star_st,aly-miR163.1-star
aly-miR163.1_st,aly-miR163.1
aly-miR163.2-star_st,aly-miR163.2-star
aly-miR163.2_st,aly-miR163.2
aly-miR164a-star_st,aly-miR164a-star
aly-miR164a_st,aly-miR164a
aly-miR164b-star_st,aly-miR164b-star
aly-miR164b_st,aly-miR164b
aly-miR164c-star_st,aly-miR164c-star
aly-miR164c_st,aly-miR164c
aly-miR165a-star_st,aly-miR165a-star
aly-miR165a_st,aly-miR165a
aly-miR165b-star_st,aly-miR165b-star
aly-miR165b_st,aly-miR165b
aly-miR166a-star_st,aly-miR166a-star
aly-miR166a_st,aly-miR166a
aly-miR166b-star_st,aly-miR166b-star
aly-miR166b_st,aly-miR166b
aly-miR166c-star_st,aly-miR166c-star
aly-miR166c_st,aly-miR166c
aly-miR166d-star_st,aly-miR166d-star
aly-miR166d_st,aly-miR166d
aly-miR166e-star_st,aly-miR166e-star
aly-miR166e_st,aly-miR166e
aly-miR166f-star_st,aly-miR166f-star
aly-miR166f_st,aly-miR166f
aly-miR166g-star_st,aly-miR166g-star
aly-miR166g_st,aly-miR166g
aly-miR167a-star_st,aly-miR167a-star
aly-miR167a_st,aly-miR167a
aly-miR167b-star_st,aly-miR167b-star
aly-miR167b_st,aly-miR167b
aly-miR167c-star_st,aly-miR167c-star
aly-miR167c_st,aly-miR167c
aly-miR167d-star_st,aly-miR167d-star
aly-miR167d_st,aly-miR167d
aly-miR168a-star_st,aly-miR168a-star
aly-miR168a_st,aly-miR168a
aly-miR168b-star_st,aly-miR168b-star
aly-miR168b_st,aly-miR168b
aly-miR169a-star_st,aly-miR169a-star
aly-miR169a_st,aly-miR169a
aly-miR169b-star_st,aly-miR169b-star
aly-miR169b_st,aly-miR169b
aly-miR169c-star_st,aly-miR169c-star
aly-miR169c_st,aly-miR169c
aly-miR169d-star_st,aly-miR169d-star
aly-miR169d_st,aly-miR169d
aly-miR169e-star_st,aly-miR169e-star
aly-miR169e_st,aly-miR169e
aly-miR169f-star_st,aly-miR169f-star
aly-miR169f_st,aly-miR169f
aly-miR169g-star_st,aly-miR169g-star
aly-miR169g_st,aly-miR169g
aly-miR169h-star_st,aly-miR169h-star
aly-miR169h_st,aly-miR169h
aly-miR169i-star_st,aly-miR169i-star
aly-miR169i_st,aly-miR169i
aly-miR169j-star_st,aly-miR169j-star
aly-miR169j_st,aly-miR169j
aly-miR169k-star_st,aly-miR169k-star
aly-miR169k_st,aly-miR169k
aly-miR169l-star_st,aly-miR169l-star
aly-miR169l_st,aly-miR169l
aly-miR169m-star_st,aly-miR169m-star
aly-miR169m_st,aly-miR169m
aly-miR169n-star_st,aly-miR169n-star
aly-miR169n_st,aly-miR169n
aly-miR170-star_st,aly-miR170-star
aly-miR170_st,aly-miR170
aly-miR171a-star_st,aly-miR171a-star
aly-miR171a_st,aly-miR171a
aly-miR171b-star_st,aly-miR171b-star
aly-miR171b_st,aly-miR171b
aly-miR171c-star_st,aly-miR171c-star
aly-miR171c_st,aly-miR171c
