fluid,mirna,specificity_score,detection_rate,fluid_min,fluid_max,other_max
vaginal,hsa-miR-642b-5p,0.0,0.0,-11.32109545474042,-11.152532272630255,-10.91347468208269
vaginal,hsa-miR-643,0.0,1.0,-3.826942507972676,-3.642701109431125,-1.792481250360578
vaginal,hsa-miR-644a,0.0,1.0,-4.474035790193628,-4.187310234755581,-3.471042629777109
vaginal,hsa-miR-645,0.0,1.0,-5.537694651955512,-5.537538075543146,-5.265130447427545
vaginal,hsa-miR-646,0.0,1.0,-0.896240625180289,-0.896240625180289,0.0
vaginal,hsa-miR-647,0.0,1.0,-8.526115936349136,-8.378457215839687,-7.837317809656936
vaginal,hsa-miR-648,0.0,1.0,-3.5799356683891945,-3.120449857916438,-2.688721875540867
vaginal,hsa-miR-649,0.0,1.0,-3.684153332673645,-3.2034452978042594,-2.4629372603540145
vaginal,hsa-miR-650,0.0,1.0,-6.874253356395898,-6.8577838239518565,-5.947127960961517
vaginal,hsa-miR-651-3p,0.0,1.0,-4.893432134489732,-4.578477613202232,-3.8015246534989497
vaginal,hsa-miR-651-5p,0.0,1.0,-5.982141159616722,-5.636142312621679,-3.938721875540867
vaginal,hsa-miR-652-3p,0.0,1.0,-4.804020675642105,-2.3119818783608963,-3.3718344038017953
vaginal,hsa-miR-652-5p,0.0,1.0,-9.0181533579145,-8.918255900298643,-9.078282267160118
vaginal,hsa-miR-653-5p,0.0,1.0,-2.0,-0.896240625180289,-0.646240625180289
vaginal,hsa-miR-654-3p,0.0,1.0,-4.597172506818567,-4.568985650652476,-3.710882133652772
vaginal,hsa-miR-654-5p,0.0,1.0,-7.851337685808144,-7.427876984800048,-7.0355184847118375
vaginal,hsa-miR-655-3p,0.0,1.0,-1.84807935569469,-1.7267226489021297,-1.55720467262397
vaginal,hsa-miR-656-3p,0.0,1.0,-5.390577378068581,-5.147076180201817,-5.099059209081904
vaginal,hsa-miR-657,0.0,1.0,-6.854266882360788,-6.7688617973425185,-6.241006408263834
vaginal,hsa-miR-658,0.0,1.0,-6.962584867790347,-6.780123272500195,-4.098783109596454
vaginal,hsa-miR-659-3p,0.0,1.0,-9.872773439710391,-9.727011570215746,-9.600079446379764
vaginal,hsa-miR-659-5p,0.0,0.0,-10.597578904605124,-10.28000621020248,-8.848950428912783
vaginal,hsa-miR-660-3p,0.0,0.0,-12.139728498642532,-11.833035153667764,-12.396793067697375
vaginal,hsa-miR-660-5p,0.0,1.0,-4.2068108627558995,-2.5368012312355575,-4.166445007082371
vaginal,hsa-miR-661,0.0,1.0,-7.688987582205769,-6.963013282074565,-5.299090497581661
vaginal,hsa-miR-662,0.0,1.0,-4.0437314206251695,-3.4220625772832944,-1.646240625180289
