fluid,mirna,pvalue,log2fc,cohens_d,fluid_mean,other_mean,fluid_std,other_std,padj,fdr,specificity_score,detection_rate,fluid_min,fluid_max,other_max,score
blood,hsa-miR-16_st,0.0010631149171586,4.735931238141367,1.621796047266272,12.8341585423183,8.098227304176934,0.1940094452798266,4.125194026608028,1.0,0.07068671929578063,1.0022573824043366,1.0,12.6520715058607,13.2087153082514,12.6235527461872,22.837988351124952
blood,hsa-miR-3687_st,0.0010631149171586,2.4118608230983427,3.1796256995140837,5.187435117126494,2.7755742940281514,0.151632210685576,1.061961228440311,1.0,0.07068671929578063,1.0086475127578924,1.0,5.05344819859148,5.48076417623602,5.01003736146313,22.802604937515238
blood,hsa-miR-200b-star_st,0.0026004014386172,-3.740950634256221,-2.29278217220262,1.0352782146239297,4.776228848880151,0.2688729556433722,2.291741462096313,1.0,0.08358257135877654,0.0749435656803532,1.0,0.623559955216749,1.38571392879054,8.44382721605464,22.1716763803874
blood,hsa-miR-128_st,0.0034543185326182,2.920227662620754,3.035588289467032,4.291151684863836,1.370924022243082,0.7269855723134364,1.149943256004279,1.0,0.09115637466232153,0.6105667490285923,1.0,2.89746369900818,4.87166755531638,4.75190965792673,21.821454608428127
blood,hsa-miR-663_st,0.0034543185326182,-2.9815364144386294,-2.863300922572953,8.396087072617364,11.377623487055994,0.2572026534732545,1.44997612888902,1.0,0.09115637466232153,0.6161511245685012,1.0,7.97551939014828,8.78056407494531,12.9503259196202,21.015088767881526
blood,hsa-miR-663b_st,0.0034543185326182,2.44360917031672,3.4726001404352727,4.0813531888507,1.6377440185339809,0.205786097802532,0.9736483934443748,1.0,0.09115637466232153,0.8873856738593352,1.0,3.81052770196172,4.38903460063919,4.29537455641563,20.888662954473862
blood,hp_hsa-mir-550a-1_s_st,0.0014426397279202,-3.009856770551018,-2.3893196193461383,3.2173659765657243,6.227222747116743,0.3096975203615306,1.7543775753827924,1.0,0.07194104878496174,0.2898034493804909,1.0,2.69961730341705,3.67190650142804,9.33984490077452,20.429943768437724
blood,hsa-miR-30a_st,0.0059677991979564,3.582161015435339,2.537994836435317,5.658701762666799,2.07654074723146,0.2959253828001885,1.9739823132749668,1.0,0.10735706673883369,0.6871401189526489,1.0,5.23044979550173,6.00209784084463,7.61646460446716,20.221198820633195
blood,hsa-miR-3928_st,0.0010631149171586,2.005376712320445,3.3616631750031623,3.3433837657966885,1.3380070534762436,0.5518802286321821,0.6380872742331408,1.0,0.07068671929578063,1.0224642746382593,1.0,2.41904978269261,3.90676609359574,2.36568181397046,20.04501499293744
blood,hsa-miR-4732-5p_st,0.0077618299762632,3.612364714920141,2.5901835489536293,7.714159527751484,4.101794812831343,0.4826220673709847,1.9123541241511883,1.0,0.1171095236908054,0.8967720818600832,1.0,7.32711031129326,8.64891152710801,8.17168903750286,19.74294657369977
blood,hsa-miR-455-3p_st,0.0045563498031851,-3.4475294777430605,-2.417795858388287,2.967714144971352,6.415243622714413,0.8496782670900346,1.8287742248149303,1.0,0.09872576474505224,0.1740918008464692,1.0,1.62680302156414,4.30780322570986,9.39195353029652,19.51641595460629
blood,hsa-miR-3691-5p_st,0.0026004014386172,2.24207543030864,3.30446931281747,3.704051140173784,1.461975709865144,0.4017539339340537,0.8713854076566794,1.0,0.08358257135877654,0.816513452013543,1.0,3.11367751941418,4.14789458152954,3.81562897366983,19.15162812047683
blood,hsa-miR-3682-3p_st,0.0019437563806569,2.005496270605214,3.507822449663905,3.520139203271884,1.5146429326666693,0.3585222809291421,0.7247012566990433,1.0,0.07619974435615662,0.93469989355465,1.0,3.0651875048345,3.91064588894455,3.28002659146521,19.074200770994615
blood,hsa-miR-3178_st,0.0045563498031851,-2.7415375309205245,-2.928987590799404,8.26721757360122,11.008755104521745,0.4237519834608211,1.2540465838018553,1.0,0.09872576474505224,0.6220244932704898,1.0,7.65033075456025,8.7836963832683,12.3051593505324,18.80113965916985
